UF,Municipio,PIB,Populacao
MG,Itapecerica,  629.195 ,  21.760 
MG,Itapeva,  848.636 ,  9.976 
MG,Itatiaiuçu,  6.934.792 ,  11.354 
MG,Itaú de Minas,  724.266 ,  16.286 
MG,Itaúna,  5.084.952 ,  94.455 
MG,Itaverava,  71.363 ,  5.321 
MG,Itinga,  148.258 ,  15.053 
MG,Itueta,  122.207 ,  6.074 
MG,Ituiutaba,  3.797.932 ,  105.818 
MG,Itumirim,  91.622 ,  5.978 
MG,Iturama,  2.017.455 ,  40.101 
MG,Itutinga,  172.515 ,  3.749 
MG,Jaboticatubas,  297.901 ,  20.683 
MG,Jacinto,  131.584 ,  12.320 
MG,Jacuí,  150.968 ,  7.695 
MG,Jacutinga,  1.143.965 ,  26.538 
MG,Jaguaraçu,  109.845 ,  3.151 
MG,Jaíba,  849.210 ,  39.850 
MG,Jampruca,  82.540 ,  5.453 
MG,Janaúba,  1.603.651 ,  72.374 
MG,Januária,  824.599 ,  67.958 
MG,Japaraíba,  101.337 ,  4.418 
MG,Japonvar,  77.423 ,  7.991 
MG,Jeceaba,  1.953.259 ,  4.795 
MG,Jenipapo de Minas,  79.480 ,  7.781 
MG,Jequeri,  193.981 ,  12.246 
MG,Jequitaí,  130.474 ,  7.407 
MG,Jequitibá,  126.191 ,  5.203 
MG,Jequitinhonha,  274.832 ,  25.555 
MG,Jesuânia,  104.204 ,  4.774 
MG,Joaíma,  162.644 ,  15.476 
MG,Joanésia,  110.227 ,  4.382 
MG,João Monlevade,  4.851.241 ,  80.903 
MG,João Pinheiro,  2.156.171 ,  47.990 
MG,Joaquim Felício,  72.335 ,  4.757 
MG,Jordânia,  107.172 ,  10.872 
MG,José Gonçalves de Minas,  51.745 ,  4.474 
MG,José Raydan,  72.338 ,  5.104 
MG,Josenópolis,  58.028 ,  4.911 
MG,Nova União,  107.518 ,  27.823 
MG,Juatuba,  1.437.155 ,  577.532 
MG,Juiz de Fora,  20.297.559 ,  4.359 
MG,Juramento,  51.609 ,  10.795 
MG,Juruaia,  274.109 ,  5.706 
MG,Juvenília,  65.633 ,  18.272 
MG,Ladainha,  147.330 ,  7.588 
MG,Lagamar,  242.527 ,  53.236 
MG,Lagoa da Prata,  1.986.274 ,  4.062 
MG,Lagoa dos Patos,  59.611 ,  13.115 
MG,Lagoa Dourada,  345.418 ,  18.168 
MG,Lagoa Formosa,  565.583 ,  9.681 
MG,Lagoa Grande,  292.506 ,  66.744 
MG,Lagoa Santa,  2.189.391 ,  19.914 
MG,Lajinha,  399.673 ,  20.995 
MG,Lambari,  405.064 ,  3.366 
MG,Lamim,  52.131 ,  6.856 
MG,Laranjal,  95.788 ,  6.494 
MG,Lassance,  192.541 ,  105.756 
MG,Lavras,  2.941.931 ,  3.222 
MG,Leandro Ferreira,  55.510 ,  4.923 
MG,Leme do Prado,  66.205 ,  52.690 
MG,Leopoldina,  1.113.027 ,  4.994 
MG,Liberdade,  107.638 ,  16.749 
MG,Lima Duarte,  339.660 ,  7.640 
MG,Limeira do Oeste,  462.851 ,  9.766 
MG,Lontra,  93.858 ,  6.249 
MG,Luisburgo,  132.789 ,  6.735 
MG,Luislândia,  65.474 ,  5.431 
MG,Luminárias,  149.070 ,  18.297 
MG,Luz,  657.025 ,  7.112 
MG,Machacalis,  112.451 ,  42.682 
MG,Machado,  1.373.850 ,  5.119 
